indice_original,cultura,precipitacao,umidade_especifica,umidade_relativa,temperatura,real,previsto,referencia_cultura,residuo
0,"Cocoa, beans",2248.92,17.72,83.4,26.01,11560,9439.985000000008,8674.741935483873,2120.014999999992
5,"Cocoa, beans",2339.3,17.7,84.54,25.76,8850,9094.085000000028,8674.741935483873,-244.08500000002823
14,"Cocoa, beans",2686.2,18.38,85.77,26.13,6912,8681.045000000006,8674.741935483873,-1769.0450000000055
18,"Cocoa, beans",2792.95,18.24,86.04,25.95,8300,9496.404999999948,8674.741935483873,-1196.404999999948
20,"Cocoa, beans",2646.28,18.4,86.02,26.1,9956,8423.024999999994,8674.741935483873,1532.9750000000058
26,"Cocoa, beans",2729.53,18.41,86.03,26.11,12362,9510.455000000016,8674.741935483873,2851.5449999999837
30,"Cocoa, beans",2938.29,18.22,85.42,26.06,10737,8484.599999999962,8674.741935483873,2252.400000000038
38,"Cocoa, beans",2109.34,18.51,83.52,26.72,8848,9577.654999999919,8674.741935483873,-729.6549999999188
39,Oil palm fruit,2248.92,17.72,83.4,26.01,169783,171361.8150000001,176030.41935483876,-1578.8150000000896
44,Oil palm fruit,2339.3,17.7,84.54,25.76,169781,175527.19999999998,176030.41935483876,-5746.1999999999825
53,Oil palm fruit,2686.2,18.38,85.77,26.13,166136,173639.81999999998,176030.41935483876,-7503.819999999978
57,Oil palm fruit,2792.95,18.24,86.04,25.95,165993,175210.45499999996,176030.41935483876,-9217.454999999958
59,Oil palm fruit,2646.28,18.4,86.02,26.1,168476,174489.14499999996,176030.41935483876,-6013.14499999996
65,Oil palm fruit,2729.53,18.41,86.03,26.11,183544,174133.36500000002,176030.41935483876,9410.63499999998
69,Oil palm fruit,2938.29,18.22,85.42,26.06,185831,177289.17500000016,176030.41935483876,8541.824999999837
77,Oil palm fruit,2109.34,18.51,83.52,26.72,189896,175592.455,176030.41935483876,14303.545000000013
78,"Rice, paddy",2248.92,17.72,83.4,26.01,28409,27850.039999999994,31924.161290322583,558.9600000000064
83,"Rice, paddy",2339.3,17.7,84.54,25.76,26399,25860.969999999987,31924.161290322583,538.0300000000134
92,"Rice, paddy",2686.2,18.38,85.77,26.13,31619,33268.895000000026,31924.161290322583,-1649.895000000026
96,"Rice, paddy",2792.95,18.24,86.04,25.95,29415,30288.239999999976,31924.161290322583,-873.2399999999761
98,"Rice, paddy",2646.28,18.4,86.02,26.1,31101,33159.02000000003,31924.161290322583,-2058.020000000033
104,"Rice, paddy",2729.53,18.41,86.03,26.11,35277,33165.07500000003,31924.161290322583,2111.9249999999665
108,"Rice, paddy",2938.29,18.22,85.42,26.06,37468,29640.569999999996,31924.161290322583,7827.430000000004
116,"Rice, paddy",2109.34,18.51,83.52,26.72,42550,38347.97999999996,31924.161290322583,4202.02000000004
117,"Rubber, natural",2248.92,17.72,83.4,26.01,9322,9276.809999999918,7824.645161290325,45.190000000082364
122,"Rubber, natural",2339.3,17.7,84.54,25.76,10024,9403.220000000074,7824.645161290325,620.7799999999261
131,"Rubber, natural",2686.2,18.38,85.77,26.13,6448,8289.160000000025,7824.645161290325,-1841.1600000000253
135,"Rubber, natural",2792.95,18.24,86.04,25.95,5249,8125.124999999898,7824.645161290325,-2876.124999999898
137,"Rubber, natural",2646.28,18.4,86.02,26.1,6348,7795.714999999953,7824.645161290325,-1447.7149999999529
143,"Rubber, natural",2729.53,18.41,86.03,26.11,9612,8742.589999999982,7824.645161290325,869.410000000018
147,"Rubber, natural",2938.29,18.22,85.42,26.06,9701,7687.569999999905,7824.645161290325,2013.4300000000949
155,"Rubber, natural",2109.34,18.51,83.52,26.72,5903,6981.985000000015,7824.645161290325,-1078.9850000000151
